Rk,Season,Conf,W,L,WLPercent,W2,L2,WL2Percent,SRS,SOS,PTS,PTS2,AP_Pre,AP_High,AP_Final,NCAA_Tour,Seed,Coaching,Team,SrNames,TeamID,schoolid,yearid,id,Team,G,MP,FG,FGA,FG_Percent,TwoP,TwoPA,TwoP_Percent,ThreeP,ThreePA,ThreeP_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSperG,Team_ID,Dates
12,2008,AEC,15,16,0,6,10,0,-7,-4,64,66,NULL,NULL,NULL,NULL,NULL,Will Brown (15-16),albany-ny,albany-ny,1107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,2009,AEC,7,25,0,2,14,0,-12,-6,63,69,NULL,NULL,NULL,NULL,NULL,Will Brown (7-25),albany-ny,albany-ny,1107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,2010,AEC,16,16,1,9,7,1,-7,-6,63,64,NULL,NULL,NULL,NULL,NULL,Will Brown (16-16),albany-ny,albany-ny,1107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,2011,AEC,19,15,1,9,7,1,-4,-7,72,69,NULL,NULL,NULL,NULL,NULL,Will Brown (19-15),albany-ny,albany-ny,1107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,2012,AEC,24,11,1,9,7,1,-1,-5,64,61,NULL,NULL,NULL,Lost Second Round,15,Will Brown (24-11),albany-ny,albany-ny,1107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,2013,AEC,19,15,1,9,7,1,-3,-5,66,64,NULL,NULL,NULL,Lost Second Round,16,Will Brown (19-15),albany-ny,albany-ny,1107,1107,2013,1000567,albany-ny,35,7025,761,1748,0,548,1173,0,213,575,0,516,700,1,345,677,1022,394,192,71,468,564,2251,64,1107,2013
7,2013,AEC,19,15,1,9,7,1,-3,-5,66,64,NULL,NULL,NULL,Lost Second Round,16,Will Brown (19-15),albany-ny,albany-ny,1107,1107,2013,1000567,albany-ny,35,7025,761,1748,0,548,1173,0,213,575,0,516,700,1,345,677,1022,394,192,71,468,564,2251,64,1107,2013
6,2014,AEC,24,9,1,15,1,1,0,-5,65,61,NULL,NULL,NULL,Lost Second Round,14,Will Brown (24-9),albany-ny,albany-ny,1107,1107,2014,1000658,albany-ny,34,6876,765,1733,0,602,1280,0,163,453,0,546,728,1,343,832,1175,376,184,101,428,580,2239,66,1107,2014
6,2014,AEC,24,9,1,15,1,1,0,-5,65,61,NULL,NULL,NULL,Lost Second Round,14,Will Brown (24-9),albany-ny,albany-ny,1107,1107,2014,1000671,albany-ny,34,6876,765,1733,0,602,1280,0,163,453,0,546,728,1,343,832,1175,376,184,101,428,580,2239,66,1107,2014
6,2014,AEC,24,9,1,15,1,1,0,-5,65,61,NULL,NULL,NULL,Lost Second Round,14,Will Brown (24-9),albany-ny,albany-ny,1107,1107,2014,1000658,albany-ny,34,6876,765,1733,0,602,1280,0,163,453,0,546,728,1,343,832,1175,376,184,101,428,580,2239,66,1107,2014
