Team,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,Team_ID,Date
ohio-state,37.0,7450.0,983,1999,.492,707,1291,.548,276,708,.390,498,716,.696,325,909,1234,545,262,157,413,565,2740,74.1,1326,2010.0
pittsburgh,34.0,6950.0,809,1811,.447,628,1285,.489,181,526,.344,537,775,.693,420,849,1269,536,177,139,421,594,2336,68.7,1338,2010.0
purdue,35.0,7025.0,867,1957,.443,680,1369,.497,187,588,.318,546,755,.723,351,819,1170,493,248,162,381,651,2467,70.5,1345,2010.0
syracuse,35.0,7000.0,1042,2021,.516,798,1397,.571,244,624,.391,504,745,.677,417,920,1337,673,336,221,532,515,2832,80.9,1393,2010.0
texas-am,34.0,6850.0,813,1846,.440,603,1220,.494,210,626,.335,590,892,.661,400,852,1252,417,223,113,417,619,2426,71.4,1401,2010.0
west-virginia,38.0,7725.0,942,2190,.430,685,1428,.480,257,762,.337,611,868,.704,585,882,1467,589,213,155,451,686,2752,72.4,1452,2010.0
wisconsin,33.0,6650.0,776,1750,.443,530,1060,.500,246,690,.357,416,568,.732,320,736,1056,412,187,113,289,537,2214,67.1,1458,2010.0
xavier,35.0,7225.0,961,2082,.462,711,1418,.501,250,664,.377,621,873,.711,444,971,1415,494,235,132,452,662,2793,79.8,1462,2010.0
winthrop,33.0,6650.0,735,1934,.380,611,1434,.426,124,500,.248,448,696,.644,450,826,1276,346,283,135,402,622,2042,61.9,1457,2010.0
sam-houston-state,33.0,6650.0,909,1963,.463,622,1188,.524,287,775,.370,511,727,.703,410,837,1247,673,257,85,442,661,2616,79.3,1358,2010.0
texas-el-paso,33.0,6675.0,891,1879,.474,690,1293,.534,201,586,.343,501,744,.673,323,870,1193,488,288,120,435,643,2484,75.3,1431,2010.0
florida,34.0,6875.0,890,2006,.444,687,1358,.506,203,648,.313,472,671,.703,455,810,1265,479,243,94,423,501,2455,72.2,1196,2010.0
lehigh,33.0,6650.0,842,1853,.454,622,1302,.478,220,551,.399,574,799,.718,339,862,1201,495,203,85,429,589,2478,75.1,1250,2010.0
north-texas,33.0,6700.0,798,1748,.457,619,1210,.512,179,538,.333,662,921,.719,364,856,1220,394,144,94,485,590,2437,73.8,1317,2010.0
east-tennessee-state,35.0,7025.0,855,1978,.432,678,1403,.483,177,575,.308,537,815,.659,445,832,1277,382,293,112,519,673,2424,69.3,1190,2010.0
vanderbilt,33.0,6625.0,859,1829,.470,656,1277,.514,203,552,.368,616,854,.721,361,836,1197,436,188,171,448,632,2537,76.9,1435,2010.0
montana,32.0,6400.0,791,1636,.483,581,1110,.523,210,526,.399,436,603,.723,283,765,1048,396,206,106,390,571,2228,69.6,1285,2010.0
nevada-las-vegas,34.0,6850.0,899,1950,.461,668,1255,.532,231,695,.332,456,637,.716,337,812,1149,551,266,117,395,691,2485,73.1,1424,2010.0
georgetown,34.0,6800.0,905,1815,.499,693,1267,.547,212,548,.387,478,672,.711,333,799,1132,524,237,161,473,579,2500,73.5,1207,2010.0
notre-dame,35.0,7075.0,918,1953,.470,657,1280,.513,261,673,.388,538,744,.723,402,848,1250,585,194,104,362,530,2635,75.3,1323,2010.0
richmond,35.0,7150.0,868,1943,.447,618,1239,.499,250,704,.355,441,630,.700,304,835,1139,442,289,158,384,634,2427,69.3,1350,2010.0
san-diego-state,34.0,6875.0,875,1846,.474,696,1282,.543,179,564,.317,460,741,.621,444,813,1257,458,251,156,453,552,2389,70.3,1361,2010.0
robert-morris,35.0,7025.0,815,1868,.436,618,1322,.467,197,546,.361,572,859,.666,412,815,1227,433,267,80,520,757,2399,68.5,1352,2010.0
texas,34.0,6875.0,1005,2158,.466,810,1592,.509,195,566,.345,556,878,.633,503,922,1425,489,269,194,464,670,2761,81.2,1400,2010.0
marquette,34.0,6900.0,861,1890,.456,587,1226,.479,274,664,.413,489,660,.741,343,728,1071,516,269,72,353,580,2485,73.1,1266,2010.0
louisville,33.0,6675.0,876,1960,.447,614,1183,.519,262,777,.337,491,700,.701,478,739,1217,511,258,135,453,663,2505,75.9,1257,2010.0
temple,35.0,7050.0,851,1942,.438,647,1337,.484,204,605,.337,367,533,.689,377,904,1281,515,163,104,358,521,2273,64.9,1396,2010.0
oklahoma-state,33.0,6625.0,839,1861,.451,565,1077,.525,274,784,.349,485,679,.714,327,842,1169,413,214,84,418,664,2437,73.8,1329,2010.0
florida-state,32.0,6425.0,783,1734,.452,597,1177,.507,186,557,.334,431,669,.644,406,805,1211,446,267,200,528,575,2183,68.2,1199,2010.0
houston,35.0,7050.0,958,2282,.420,668,1468,.455,290,814,.356,545,768,.710,440,745,1185,435,329,103,315,652,2751,78.6,1222,2010.0
new-mexico-state,34.0,6800.0,919,1997,.460,632,1223,.517,287,774,.371,537,767,.700,358,854,1212,484,203,111,437,595,2662,78.3,1308,2010.0
clemson,32.0,6400.0,851,1878,.453,635,1247,.509,216,631,.342,432,654,.661,420,758,1178,453,301,151,480,564,2350,73.4,1155,2010.0
california-santa-barbara,30.0,6025.0,674,1522,.443,469,978,.480,205,544,.377,475,698,.681,268,716,984,414,202,92,460,572,2028,67.6,1364,2010.0
oakland,35.0,7000.0,920,2053,.448,714,1413,.505,206,640,.322,630,876,.719,477,867,1344,461,236,169,485,632,2676,76.5,1324,2010.0
siena,34.0,6850.0,930,2048,.454,770,1550,.497,160,498,.321,534,793,.673,442,868,1310,486,298,119,418,471,2554,75.1,1373,2010.0
vermont,35.0,7025.0,826,1884,.438,660,1360,.485,166,524,.317,639,930,.687,433,858,1291,423,239,141,487,635,2457,70.2,1436,2010.0
utah-state,35.0,7025.0,941,1928,.488,699,1343,.520,242,585,.414,435,574,.758,362,876,1238,584,162,123,358,562,2559,73.1,1429,2010.0
morgan-state,37.0,7500.0,960,2239,.429,755,1622,.465,205,617,.332,688,983,.700,568,920,1488,461,243,152,499,782,2813,76.0,1288,2010.0
wofford,35.0,7025.0,825,1873,.440,622,1293,.481,203,580,.350,555,830,.669,402,841,1243,469,242,74,416,621,2408,68.8,1459,2010.0
