team_id,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,W-L%,SRS,SOS,opp_PPG,Seed
100082,1015,2131,0.47600000000000003,822,1587,0.518,193,544,0.355,703,940,0.748,487.0,946.0,1433,585,283,159,546.0,630.0,81.3,.778,26.84,12.56,66.3,2
100083,755,1643,0.46,504,1026,0.491,251,617,0.40700000000000003,467,652,0.716,305.0,617.0,922,388,222,89,377.0,505.0,69.6,.750,12.55,3.98,60.8,10
100084,873,1998,0.43700000000000006,568,1150,0.494,305,848,0.36,532,777,0.685,411.0,856.0,1267,471,231,97,418.0,663.0,78.3,.667,14.24,7.91,71.9,9
100085,849,1764,0.48100000000000004,593,1096,0.541,256,668,0.38299999999999995,555,761,0.7290000000000001,319.0,826.0,1145,538,271,114,451.0,589.0,80.9,.774,21.32,7.51,67.1,3
100086,954,2030,0.47,713,1352,0.527,241,678,0.355,540,793,0.6809999999999999,389.0,851.0,1240,592,330,209,551.0,626.0,81.5,.788,15.66,5.14,71.0,9
100087,915,1793,0.51,670,1187,0.564,245,606,0.40399999999999997,645,947,0.6809999999999999,369.0,896.0,1265,537,191,135,472.0,619.0,82.4,.788,12.57,0.32,68.8,12
100088,929,2046,0.45399999999999996,682,1368,0.499,247,678,0.364,620,880,0.705,479.0,921.0,1400,550,269,146,524.0,772.0,77.9,.771,23.32,11.38,65.9,1
100089,861,1872,0.46,648,1278,0.507,213,594,0.359,544,772,0.705,334.0,735.0,1069,521,237,100,402.0,576.0,72.9,.647,6.95,2.50,67.8,13
100090,1002,1996,0.502,819,1531,0.535,183,465,0.39399999999999996,520,789,0.659,443.0,964.0,1407,641,217,170,532.0,648.0,82.0,.788,20.23,9.03,69.3,4
100091,957,1957,0.489,811,1504,0.539,146,453,0.322,493,686,0.7190000000000001,514.0,890.0,1404,579,210,133,451.0,611.0,77.4,.848,25.12,9.54,61.8,1
100092,865,1958,0.442,641,1303,0.49200000000000005,224,655,0.342,542,829,0.654,416.0,811.0,1227,500,285,115,500.0,719.0,71.3,.771,15.05,9.20,64.6,3
100093,945,1972,0.479,756,1453,0.52,189,519,0.364,532,794,0.67,411.0,952.0,1363,576,244,184,518.0,576.0,79.1,.788,19.95,11.77,70.9,2
100094,814,1763,0.462,595,1193,0.499,219,570,0.384,491,714,0.688,370.0,844.0,1214,527,199,178,434.0,501.0,77.9,.667,14.35,5.68,69.3,6
100095,835,1962,0.426,557,1205,0.462,278,757,0.36700000000000005,587,768,0.764,349.0,720.0,1069,481,279,117,407.0,657.0,76.8,.636,12.42,10.54,74.9,7
100096,885,2029,0.436,700,1477,0.474,185,552,0.335,520,727,0.715,442.0,771.0,1213,545,325,203,441.0,681.0,72.8,.735,11.14,5.82,67.5,5
100097,926,2168,0.42700000000000005,645,1353,0.47700000000000004,281,815,0.345,471,673,0.7,494.0,828.0,1322,416,270,138,307.0,585.0,70.4,.649,16.20,9.77,63.9,11
100098,684,1676,0.408,469,1063,0.441,215,613,0.35100000000000003,454,661,0.687,398.0,705.0,1103,351,223,78,441.0,610.0,65.7,.581,-3.73,-7.80,61.8,16
100099,783,1602,0.489,586,1109,0.528,197,493,0.4,480,673,0.713,335.0,662.0,997,462,321,87,470.0,613.0,72.4,.806,3.01,-3.42,65.0,14
100100,744,1620,0.45899999999999996,559,1135,0.493,185,485,0.381,651,835,0.78,292.0,760.0,1052,414,203,108,433.0,491.0,70.4,.727,10.94,3.47,62.7,12
100101,756,1664,0.45399999999999996,555,1094,0.507,201,570,0.353,467,678,0.6890000000000001,300.0,755.0,1055,439,280,105,471.0,517.0,70.3,.677,-3.82,-8.85,65.3,16
100102,881,1990,0.44299999999999995,608,1249,0.48700000000000004,273,741,0.368,441,639,0.69,410.0,690.0,1100,476,365,124,451.0,654.0,79.9,.645,16.61,6.16,68.8,7
100103,575,1349,0.426,401,872,0.46,174,477,0.365,399,568,0.7020000000000001,233.0,636.0,869,358,172,68,337.0,520.0,59.4,.621,14.90,12.08,56.6,6
100104,823,1735,0.474,641,1299,0.493,182,436,0.41700000000000004,623,856,0.728,375.0,853.0,1228,429,190,102,467.0,636.0,79.1,.806,15.90,4.87,68.2,2
100105,788,1782,0.442,539,1088,0.495,249,694,0.359,500,712,0.7020000000000001,357.0,727.0,1084,490,293,114,426.0,646.0,72.7,.750,12.40,3.00,63.3,10
100106,858,1896,0.45299999999999996,677,1396,0.485,181,500,0.36200000000000004,511,804,0.636,377.0,891.0,1268,513,231,178,496.0,650.0,70.8,.618,17.58,11.05,64.3,4
100107,640,1437,0.445,504,1049,0.48,136,388,0.35100000000000003,618,940,0.657,388.0,767.0,1155,385,188,157,512.0,583.0,67.8,.733,-0.31,-5.84,62.3,15
100108,784,1705,0.46,642,1266,0.507,142,439,0.32299999999999995,417,633,0.659,357.0,661.0,1018,411,252,129,429.0,544.0,70.9,.600,5.12,-0.35,65.4,14
100109,845,1820,0.46399999999999997,703,1409,0.499,142,411,0.345,425,632,0.672,397.0,796.0,1193,471,195,149,485.0,569.0,72.8,.516,12.67,12.71,72.8,8
100110,776,1822,0.426,516,1122,0.46,260,700,0.371,457,662,0.69,345.0,780.0,1125,488,238,136,474.0,645.0,75.6,.567,14.51,11.78,72.9,8
100111,773,1741,0.444,589,1261,0.467,184,480,0.38299999999999995,552,718,0.769,343.0,706.0,1049,414,271,118,475.0,648.0,73.6,.613,-5.02,-5.85,71.9,16
100112,784,1657,0.473,617,1154,0.535,167,503,0.332,522,807,0.647,373.0,793.0,1166,414,237,119,511.0,547.0,72.8,.839,5.11,-5.47,62.2,13
100113,767,1652,0.46399999999999997,638,1257,0.508,129,395,0.327,466,736,0.633,364.0,775.0,1139,406,241,115,506.0,568.0,71.0,.667,10.81,4.70,64.5,11
100114,775,1645,0.47100000000000003,606,1202,0.504,169,443,0.381,487,697,0.6990000000000001,355.0,735.0,1090,473,161,160,471.0,607.0,71.2,.645,15.68,8.17,63.6,5
100115,915,1931,0.474,685,1347,0.509,230,584,0.39399999999999996,504,650,0.775,359.0,765.0,1124,514,197,116,427.0,577.0,82.7,.677,0.99,-2.46,78.7,15
100116,838,1815,0.462,661,1321,0.5,177,494,0.358,443,609,0.727,342.0,762.0,1104,465,219,136,375.0,572.0,76.5,.633,20.53,10.50,66.5,7
100117,909,1980,0.45899999999999996,652,1283,0.508,257,697,0.369,593,872,0.68,421.0,880.0,1301,528,232,191,528.0,712.0,80.8,.667,15.49,10.28,75.6,8
100118,812,1789,0.45399999999999996,599,1184,0.506,213,605,0.35200000000000004,466,674,0.691,441.0,799.0,1240,452,246,155,453.0,588.0,74.3,.774,8.67,-1.65,60.9,14
100119,813,1699,0.479,637,1196,0.5329999999999999,176,503,0.35,502,732,0.6859999999999999,281.0,717.0,998,508,225,66,424.0,570.0,74.3,.645,14.76,9.08,68.6,8
100120,852,1872,0.455,648,1319,0.491,204,553,0.369,556,755,0.736,437.0,694.0,1131,420,221,98,399.0,590.0,85.0,.690,18.93,8.72,74.8,5
